portal_title,type,url,begin,nuts,ags,accountable,email,twitter,facebook,hosting,technology,api,last_check,City,Lat,Lng
Bochum,city,http://www.bochum.de/opendata,,DEA51,5911000,,,,,,,,,Bochum,51.483,7.217
Herne,city,https://www.herne.de/Stadt-und-Leben/Stadtfakten/Open-Data/,,DEA55,5916000,,,,,,,,,Herne,51.550,7.217
Arnsberg,city,http://offenedaten.arnsberg.de,,DEA57004,5958004,,,,,,,,,Arnsberg,51.400,8.067
Rheinland-Pfalz,state,http://daten.rlp.de/,,DEB,,,,,,,,,,,,
Sachsen,state,http://www.opendata.sachsen.de/,,DED,,,,,,,,,,,,
Chemnitz,city,http://portal-chemnitz.opendata.arcgis.com/,2017-03-07,DED41,14511000,,,,,,,,,Chemnitz,50.830,12.917
Leipzig,city,https://opendata.leipzig.de,,DED51,14713000,,,,,,,,,Leipzig,51.339,12.377
Halle (Saale),city,http://www.daten.halle.de,,DEE02,15002000,,,,,,,,,,,
Jena,city,https://opendata.jena.de/,2016-12-20,DEG03,16053000,,,,,,,,,Jena,50.933,11.591
Altenburg,city,http://www.altenburg.eu/sixcms/detail.php,,DEG0M001,16077001,,,,,,,,,Altenburg,50.995,12.446
Bielefeld,city,https://open-data.bielefeld.de/,,DEA41,5711000,,,,,,,,,Bielefeld,52.017,8.533
Siegburg,city,http://offenedaten.kdvz-frechen.de/group/siegburg,,DEA2C060,5382060,,,,,,,,,Siegburg,50.800,7.200
Niederzier,city,http://offenedaten.kdvz-frechen.de/group/niederzier,,DEA26048,5358048,,,,,,,,,Niederzier,50.883,6.467
Nörvenich,city,http://offenedaten.kdvz-frechen.de/group/n%C3%B6rvenich,,DEA26052,5358052,,,,,,,,,Nörvenich,50.817,6.650
Brandenburg,state,https://datenadler.de/,,,,,,,,,,,,Brandenburg,52.413,12.552
OpenData-Plattform ÖPNV,other,https://www.opendata-oepnv.de/,,,,,,,,,,,,,,
Kiel,city,https://www.kiel.de/de/kiel_zukunft/statistik_kieler_zahlen/open_data/index.php,,,1002000,,,,,,,,,Kiel,54.333,10.133
Dortmund,city,https://opendata.dortmund.de/,,,5913000,,,,,,,,,Dortmund,51.517,7.467
Esri Deutschland Open Data Portal,other,https://opendata-esri-de.opendata.arcgis.com/,,,,,,,,,,,,,,
Magdeburg,city,https://www.magdeburg.de/Start/B%C3%BCrger-Stadt/Verwaltung-Service/Offene-Verwaltungsdaten,,,15003000,,,,,,,,,Magdeburg,52.122,11.619
Mittenwalde,city,http://stadt-mittenwalde.opendata.arcgis.com/,,,12073404,,,,,,,,,Mittenwalde,52.266,13.538
Duisburg,city,https://opendata-duisburg.de/,2019-03-19,,5112000,,,,,Stadt Köln,DKAN,https://opendata-duisburg.de/api/3/action/package_list,2019-03-24,Duisburg,51.433,6.767
